iter	MultiClass
0	1.080861447
1	1.066205308
2	1.053508437
3	1.042880178
4	1.033456259
5	1.024917435
6	1.017234761
7	1.010713135
8	1.004659244
9	0.998939406
10	0.9935775309
11	0.988245505
12	0.9833207579
13	0.9789095229
14	0.9753223479
15	0.9716622843
16	0.9686958285
17	0.9650923144
18	0.96266125
19	0.9604381482
20	0.95842095
21	0.9558145394
22	0.9540597068
23	0.9514781415
24	0.949825274
25	0.9480133586
26	0.9464118945
27	0.9445873935
28	0.942555907
29	0.9405907386
30	0.9386600441
31	0.9373947503
32	0.9356974683
33	0.9341333446
34	0.9329916261
35	0.9317041334
36	0.9304055899
37	0.9296005279
38	0.9287488094
39	0.9280364174
40	0.9270375954
41	0.9257289386
42	0.925284813
43	0.9242094822
44	0.9235193587
45	0.9222363085
46	0.9214811722
47	0.9202257431
48	0.9193297014
49	0.9183014987
50	0.9174666683
51	0.9164189658
52	0.9157905946
53	0.9146843788
54	0.9138109572
55	0.9132339501
56	0.9119780016
57	0.9106507728
58	0.9096580754
59	0.9089262388
60	0.9078097492
61	0.9069473253
62	0.9063013106
63	0.9054775721
64	0.9050459212
65	0.9042474285
66	0.9034738056
67	0.9025635851
68	0.901942627
69	0.9011016
70	0.8997613967
71	0.8992774624
72	0.8987643871
73	0.8982898769
74	0.8974885594
75	0.8969125679
76	0.8961511531
77	0.8954379639
78	0.8946222952
79	0.894052147
80	0.8934207137
81	0.8923294251
82	0.8916552997
83	0.8911982812
84	0.8902094437
85	0.8895647321
86	0.8888693628
87	0.8878929233
88	0.887308591
89	0.8869486644
90	0.8863151784
91	0.885668712
92	0.8848770727
93	0.8841565801
94	0.8833969688
95	0.882540991
96	0.8820380348
97	0.8815120703
98	0.8808882869
99	0.8803155859
100	0.8797684846
101	0.8792867999
102	0.8783551264
103	0.8774970977
104	0.8768950998
105	0.8762946063
106	0.8756334391
107	0.8749423743
108	0.874391257
109	0.8736411701
110	0.8730006124
111	0.8722947407
112	0.8717538494
113	0.8709068368
114	0.8702516279
115	0.8696975584
116	0.8689199425
117	0.8682286159
118	0.8676225274
119	0.8669104106
120	0.866228365
121	0.8654660479
122	0.8650088166
123	0.8643878452
124	0.8636922821
125	0.8630674266
126	0.8621908823
127	0.8614012822
128	0.8609633214
129	0.8601345038
130	0.8592900513
131	0.8587656904
132	0.8579624977
133	0.8569518878
134	0.856381218
135	0.8556716199
136	0.8548278394
137	0.8541564114
138	0.8533808668
139	0.8525899912
140	0.8514117923
141	0.8508383346
142	0.85013426
143	0.8494583252
144	0.84887532
145	0.8480245955
146	0.8473964657
147	0.8467356217
148	0.8457493926
149	0.8454119963
150	0.8445640624
151	0.8435264027
152	0.842978821
153	0.8423074701
154	0.8417845511
155	0.8409990003
156	0.8403937836
157	0.8398238814
158	0.8390993301
159	0.8386940105
160	0.8380385908
161	0.8371593737
162	0.8364926777
163	0.8358336148
164	0.8351396063
165	0.8346407954
166	0.8339167214
167	0.8332323811
168	0.8326709282
169	0.8321106745
170	0.8314592715
171	0.8308835761
172	0.8302762651
173	0.8295224856
174	0.8288875098
175	0.8282203507
176	0.8274157214
177	0.8268005978
178	0.8262242943
179	0.8254151949
180	0.8247586718
181	0.8239673014
182	0.8233607332
183	0.8226492833
184	0.822014546
185	0.8215059906
186	0.8209529253
187	0.8200759387
188	0.8195164311
189	0.8188370455
190	0.8182733099
191	0.8176505054
192	0.8171297899
193	0.8166347906
194	0.8161802258
195	0.815475455
196	0.8149002225
197	0.8142907621
198	0.8136689152
199	0.8133097604
200	0.8124981266
201	0.8119797507
202	0.811643114
203	0.8110221286
204	0.8104298948
205	0.809627697
206	0.8089651948
207	0.8083438946
208	0.8077465701
209	0.8071290664
210	0.8067087115
211	0.8062728038
212	0.8058274546
213	0.8052514056
214	0.8047143834
215	0.8040768677
216	0.8036112206
217	0.8030164259
