iter	Passed	Remaining
0	336	336579
1	486	242952
2	659	219325
3	808	201315
4	1014	201798
5	1185	196425
6	1393	197671
7	1565	194158
8	1753	193054
9	1941	192197
10	2142	192587
11	2321	191118
12	2532	192277
13	2718	191487
14	2912	191265
15	3080	189450
16	3274	189356
17	3478	189769
18	3677	189851
19	3861	189191
20	4043	188517
21	4237	188359
22	4417	187637
23	4596	186914
24	4771	186104
25	4938	185015
26	5131	184929
27	5328	184988
28	5526	185046
29	5755	186096
30	5935	185539
31	6137	185673
32	6334	185615
33	6518	185188
34	6690	184457
35	6962	186449
36	7199	187373
37	7378	186805
38	7572	186583
39	7799	187176
40	8015	187478
41	8205	187157
42	8414	187268
43	8586	186551
44	8769	186098
45	8958	185787
46	9143	185394
47	9322	184890
48	9513	184634
49	9679	183916
50	9869	183653
51	10054	183306
52	10232	182833
53	10429	182703
54	10609	182298
55	10778	181690
56	11018	182284
57	11256	182819
58	11517	183688
59	11724	183682
60	11953	184007
61	12172	184160
62	12366	183932
63	12617	184532
64	12873	185176
65	13130	185820
66	13368	186162
67	13673	187412
68	14083	190023
69	14461	192129
70	14711	192495
71	14912	192211
72	15090	191623
73	15263	190995
74	15464	190723
75	15638	190126
76	15806	189473
77	15994	189066
78	16176	188591
79	16370	188258
80	16595	188290
81	16779	187844
82	16970	187494
83	17168	187215
84	17398	187288
85	17563	186666
86	17734	186114
87	17909	185611
88	18081	185080
89	18259	184626
90	18452	184327
91	18629	183868
92	18813	183485
93	18992	183051
94	19177	182694
95	19355	182266
96	19534	181852
97	19701	181333
98	19941	181487
99	20133	181198
100	20328	180940
101	20590	181280
102	20781	180983
103	21030	181187
104	21221	180890
105	21467	181054
106	21676	180910
107	21906	180927
108	22093	180597
109	22287	180324
110	22494	180156
111	22701	179987
112	22885	179644
113	23098	179517
114	23329	179534
115	23520	179239
116	23706	178910
117	23908	178709
118	24084	178306
119	24267	177961
120	24466	177737
121	24641	177338
122	24837	177092
123	25025	176791
124	25325	177280
125	25593	177527
126	25840	177627
127	26291	179113
128	26742	180561
129	27121	181505
130	27344	181394
131	27586	181402
132	27847	181534
133	28105	181638
134	28297	181315
135	28490	180997
136	28678	180651
137	28868	180322
138	29070	180071
139	29250	179682
140	29439	179350
141	29640	179094
142	29832	178785
143	30029	178510
144	30210	178137
145	30426	177976
146	30621	177690
147	30811	177376
148	31006	177093
149	31178	176678
150	31452	176842
151	31794	177377
152	32076	177571
153	32319	177544
154	32551	177457
155	32733	177095
156	32917	176749
157	33100	176397
158	33288	176075
159	33475	175743
160	33663	175427
161	33861	175157
162	34049	174843
163	34327	174988
164	34531	174750
165	34724	174460
166	34922	174192
167	35165	174150
168	35374	173942
169	35566	173650
170	35825	173681
171	36037	173481
172	36321	173631
173	36578	173640
174	36790	173442
175	37036	173400
176	37243	173170
177	37477	173070
178	37782	173290
179	38082	173488
180	38338	173475
181	38655	173739
182	38856	173475
183	39088	173349
184	39291	173094
185	39480	172779
186	39670	172470
187	39869	172201
188	40058	171891
189	40231	171513
190	40424	171223
191	40622	170953
192	40837	170755
193	41029	170461
194	41201	170088
195	41471	170117
196	41656	169798
197	41929	169834
198	42133	169593
199	42370	169480
200	42617	169409
201	42825	169183
202	43024	168918
203	43221	168646
204	43477	168606
205	43669	168318
206	43856	168009
207	44064	167785
208	44242	167444
209	44435	167160
210	44611	166815
211	44793	166498
212	44973	166168
213	45163	165880
214	45356	165603
215	45544	165308
216	45731	165011
217	45926	164746
218	46130	164509
219	46329	164260
220	46512	163950
221	46723	163742
222	46903	163425
223	47164	163390
224	47340	163061
225	47602	163028
226	47800	162774
227	48051	162699
228	48271	162521
229	48465	162254
230	48699	162121
231	48905	161892
232	49094	161610
233	49317	161439
234	49505	161155
235	49756	161075
236	49956	160829
237	50143	160542
238	50329	160253
239	50517	159970
240	50706	159692
241	50892	159408
242	51090	159157
243	51356	159121
244	51533	158808
245	51839	158891
246	52096	158820
247	52344	158723
248	52679	158886
249	52895	158687
250	53084	158406
251	53304	158222
252	53500	157965
253	53712	157754
254	53902	157479
255	54106	157248
256	54310	157015
257	54509	156766
258	54722	156559
259	54916	156299
260	55125	156082
261	55325	155840
262	55525	155596
263	55724	155352
264	55914	155084
265	56092	154780
266	56309	154586
267	56498	154318
268	56739	154189
269	56949	153974
270	57221	153927
271	57423	153691
272	57632	153474
273	57891	153392
274	58151	153308
275	58391	153170
276	58643	153065
277	58826	152780
278	59021	152525
279	59211	152258
280	59426	152056
281	59613	151782
282	59794	151492
283	59982	151223
284	60182	150984
285	60392	150769
286	60591	150528
287	60761	150217
288	60948	149946
289	61123	149646
290	61309	149377
291	61495	149106
292	61780	149075
293	61955	148777
294	62213	148679
295	62473	148586
296	62669	148337
297	62892	148155
298	63069	147865
299	63290	147677
300	63561	147606
301	63864	147607
302	64094	147438
303	64294	147200
304	64507	146991
305	64762	146879
306	64968	146656
307	65217	146527
308	65430	146317
309	65691	146217
310	65874	145941
311	66183	145943
312	66410	145763
313	66706	145735
314	66991	145680
315	67197	145453
316	67377	145168
317	67591	144960
318	67779	144696
319	67977	144452
320	68200	144261
321	68404	144031
322	68707	144009
323	68907	143770
324	69117	143551
325	69325	143329
326	69514	143068
327	69869	143147
328	70120	143011
329	70403	142941
330	70645	142785
331	70884	142623
332	71085	142383
333	71320	142213
334	71495	141924
335	71680	141654
336	71857	141369
337	72029	141076
338	72207	140793
339	72436	140611
340	72629	140359
341	72811	140087
342	72981	139792
343	73175	139544
344	73365	139289
345	73549	139021
346	73740	138768
347	73918	138491
348	74095	138212
349	74305	137995
350	74492	137737
351	74716	137546
352	74889	137261
353	75064	136982
354	75249	136720
355	75442	136474
356	75633	136224
357	75812	135954
358	76001	135702
359	76175	135423
360	76397	135229
361	76597	134997
362	76780	134735
363	77013	134561
364	77185	134280
365	77360	134007
366	77569	133792
367	77755	133536
368	77930	133263
369	78117	133011
370	78341	132822
371	78521	132557
372	78708	132306
373	78893	132051
374	79082	131803
375	79260	131539
376	79454	131299
377	79642	131052
378	79826	130798
379	80007	130538
380	80192	130286
381	80379	130038
382	80561	129782
383	80754	129543
384	80963	129331
385	81165	129107
386	81338	128839
387	81518	128580
388	81700	128326
389	81881	128071
390	82081	127845
391	82253	127576
392	82446	127340
393	82629	127090
394	82819	126850
395	83014	126617
396	83188	126354
397	83382	126121
398	83575	125886
399	83777	125665
400	84017	125502
401	84199	125251
402	84402	125032
403	84599	124804
404	84797	124578
405	84974	124322
406	85166	124087
407	85372	123874
408	85618	123718
409	85914	123633
410	87694	125673
411	88961	126963
412	90171	128161
413	91247	129156
414	92208	129981
415	92416	129739
416	92624	129496
417	93093	129618
418	93843	130126
419	94447	130427
420	95234	130975
421	95929	131390
422	96942	132236
423	97920	133023
